userid,experimentid,activity_Still,activity_Tilting,activity_Unknown,activity_InVehicle,activity_OnBicycle,activity_OnFoot,app_category_nunique,app_adventure,app_tools,app_productivity,app_communication,app_social,app_libraries_&_demo,app_lifestyle,app_personalization,app_racing,app_maps_&_navigation,app_travel_&_local,app_food_&_drink,app_books_&_reference,app_medical,app_puzzle,app_entertainment,app_arcade,app_auto_&_vehicles,app_photography,app_health_&_fitness,app_education,app_shopping,app_board,app_music_&_audio,app_sports,app_beauty,app_business,app_educational,app_finance,app_news_&_magazines,app_casual,app_art_&_design,app_house_&_home,app_card,app_events,app_trivia,app_weather,app_strategy,app_word,app_video_players_&_editors,app_action,app_simulation,app_music,app_dating,app_role_playing,app_casino,app_comics,app_parenting,app_shop,app_nunique,app_entropy_basic,bluetooth_addr_nuinque,bluetooth_mean,bluetooth_min,bluetooth_max,bluetooth_std,bluetooth_var,bluetooth_entropy_basic,cellular_lte_mean,cellular_lte_min,cellular_lte_max,cellular_lte_std,cellular_lte_entropy_basic,cellular_lte_num_of_devices,location_latitude,location_longitude,location_longitude_mean,location_longitude_min,location_longitude_max,location_latitude_mean,location_latitude_min,location_latitude_max,location_altitude_mean,location_altitude_min,location_altitude_max,location_speed_mean,location_speed_min,location_speed_max,location_speed_std,location_radius_of_gyration,location_distance_sum,notification_posted,notification_removed,proximity_mean,proximity_std,proximity_min,proximity_max,screen_SCREEN_OFF,screen_SCREEN_ON,screen_episodes_count,screen_mean_seconds_per_episode,screen_min_seconds_per_episode,screen_max_seconds_per_episode,screen_std_seconds_per_episode,steps_counter,touch_count,wifi_is_connected,wifi_num_of_devices,wifi_mean_rssi,wifi_min_rssi,wifi_max_rssi,wifi_std_rssi,hour,sin_hour,cos_hour,day_period_evening,day_period_morning,day_period_night,day_period_noon,start_interval,end_interval
19,wenetIndia,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,-84.56303972366149,-101.0,-72.0,6.124494054392973,37.50942742229488,0.4119617342519542,-102.23076923076924,-119.0,-81.0,12.603926941988137,0.1864526193784954,2.0,10.5086,76.2129,76.21298927038627,76.2129,76.2155,10.508689270386265,10.5086,10.5112,,,,-0.1374678109640598,-1.0,-0.0099999997764825,0.3322935320859687,0.0738262538526254,0.8108872947866375,4.0,1.0,4.0,4.216370213557839,0.0,8.0,,,,,,,,,17.0,,3.0,-69.6441717791411,-93.0,-49.0,14.45616439461891,14,-0.4999999999999997,-0.8660254037844388,False,False,False,False,2021-07-12 13:55:00,2021-07-12 14:05:00
19,wenetIndia,569.712,0.15,30.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0755223123155713,3.0,-82.74766355140187,-98.0,-67.0,8.182304802821196,66.95011188627083,0.3857969533635791,-96.0,-105.0,-81.0,11.16542281629615,0.4515449934959717,3.0,10.5086,76.2129,76.2129,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.1246718144741872,-1.0,-0.0099999997764825,0.3174342824985555,0.0,0.0,22.0,5.0,3.733333333333333,4.131182235954578,0.0,8.0,543.833,56.167,2.0,15.418,4.115,26.721,15.984855895503092,29.0,25.0,,2.0,-61.55749128919861,-88.0,-55.0,7.030105439860307,14,-0.4999999999999997,-0.8660254037844388,False,False,False,False,2021-07-12 14:25:00,2021-07-12 14:35:00
19,wenetIndia,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1956703810378693,1.0,-77.5,-79.0,-76.0,1.5212776585113204,2.3142857142856856,0.0,-85.0,-96.0,-74.0,15.556349186104043,0.0,1.0,10.5086,76.2129,76.2129,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.1185382057810541,-1.0,-0.0099999997764825,0.3098244493452956,0.0,0.0,6.0,4.0,4.0,5.656854249492381,0.0,8.0,515.976,84.024,1.0,83.99199999999999,83.99199999999999,83.99199999999999,0.0,,75.0,,2.0,-62.43877551020408,-89.0,-51.0,10.869124941493723,15,-0.7071067811865471,-0.7071067811865479,False,False,False,False,2021-07-12 14:55:00,2021-07-12 15:05:00
19,wenetIndia,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-73.66666666666667,-77.0,-70.0,2.8943666821199523,8.377358490566062,0.0,-99.0,-111.0,-87.0,16.97056274847714,0.0,1.0,10.5086,76.2129,76.2129,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.1187499998010355,-1.0,-0.0099999997764825,0.3101617847882926,0.0,0.0,10.0,1.0,,,,,588.3820000000001,11.618000000000002,2.0,5.721500000000001,5.6610000000000005,5.782,0.0855599205235722,,,,1.0,-54.38709677419355,-58.0,-50.0,2.1846341467095405,15,-0.7071067811865471,-0.7071067811865479,False,False,False,False,2021-07-12 15:25:00,2021-07-12 15:35:00
19,wenetIndia,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1444438319886024,1.0,-76.5,-78.0,-73.0,2.076020027583917,4.309859154929527,0.0,-99.66666666666669,-108.0,-92.0,8.020806277010644,0.2764345909436749,2.0,10.5086,76.2129,76.21289178082192,76.2126,76.2129,10.508649315068492,10.5086,10.5104,,,,-0.1151027395262394,-1.0,-0.0099999997764825,0.3054909683091429,0.0331080087815003,0.4056409071844639,1.0,1.0,4.0,5.656854249492381,0.0,8.0,534.2950000000001,65.705,1.0,65.5,65.5,65.5,0.0,,59.0,,2.0,-57.05882352941177,-81.0,-49.0,9.159323446133104,16,-0.8660254037844384,-0.5000000000000004,False,False,False,False,2021-07-12 15:55:00,2021-07-12 16:05:00
19,wenetIndia,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-72.66666666666667,-74.0,-71.0,1.258930363593371,1.5849056603773373,0.0,-102.66666666666669,-107.0,-100.0,3.7859388972001833,0.2764345909436749,2.0,10.5086,76.2129,76.2129,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.1145774645888259,-1.0,-0.0099999997764825,0.3048318154590733,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,1.0,-52.53125,-58.0,-48.0,2.7552089704028337,16,-0.8660254037844384,-0.5000000000000004,False,False,False,False,2021-07-12 16:25:00,2021-07-12 16:35:00
19,wenetIndia,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2996197219083772,2.0,-81.5068493150685,-90.0,-76.0,6.108107744063608,37.30898021308981,0.3000104922647005,-95.66666666666669,-104.0,-85.0,9.712534856222312,0.2764345909436749,2.0,10.5086,76.2129,76.21289999999999,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.1159069765445797,-1.0,-0.0099999997764825,0.3067069451890834,1.4886497245096796e-12,0.0,16.0,0.0,8.0,,8.0,8.0,360.747,239.253,0.0,0.0,0.0,0.0,0.0,,65.0,,2.0,-84.24434389140272,-92.0,-56.0,11.381165747501893,17,-0.9659258262890683,-0.25881904510252063,False,False,False,False,2021-07-12 16:55:00,2021-07-12 17:05:00
19,wenetIndia,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-86.66666666666667,-89.0,-85.0,1.7156328938368683,2.9433962264150675,0.0,-87.0,-87.0,-87.0,0.0,0.0,1.0,10.5086,76.2129,76.2129,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.1264705880380728,-1.0,-0.0099999997764825,0.3213393831584661,2.78183817226018e-12,0.0,22.0,0.0,8.0,,8.0,8.0,,,,,,,,0.0,,,2.0,-69.58870967741936,-96.0,-56.0,11.358716424585891,17,-0.9659258262890683,-0.25881904510252063,False,False,False,False,2021-07-12 17:25:00,2021-07-12 17:35:00
19,wenetIndia,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-91.86666666666666,-97.0,-88.0,2.7343335432332694,7.476579925650604,0.0,-93.0,-113.0,-85.0,9.412757300600074,0.1323017760673159,2.0,10.5086,76.2129,76.2129,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.1199999998013177,-1.0,-0.0099999997764825,0.313310357833915,0.0,0.0,70.0,2.0,,,,,,,,,,,,,,,2.0,-71.1923076923077,-89.0,-59.0,8.65387288383159,18,-1.0,-1.8369701987210297e-16,True,False,False,False,2021-07-12 17:55:00,2021-07-12 18:05:00
19,wenetIndia,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-91.72148541114058,-97.0,-86.0,3.093299195898306,9.568499915345106,0.2601261541494578,-93.0,-106.0,-84.0,5.081159495448038,0.0,1.0,10.5086,76.2129,76.2129,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.1142105261158001,-1.0,-0.0099999997764825,0.3058420645746598,2.78183817226018e-12,0.0,82.0,0.0,4.0,5.656854249492381,0.0,8.0,,,,,,,,,,,2.0,-72.12755102040816,-89.0,-61.0,7.753183374155483,18,-1.0,-1.8369701987210297e-16,True,False,False,False,2021-07-12 18:25:00,2021-07-12 18:35:00
